image_name,100_loss,200_loss,300_loss
131.JPEG,NULL,25.24472999572754,22.41183090209961
132.JPEG,NULL,23.92489242553711,27.571453094482425
133.JPEG,NULL,19.243133544921875,23.54399681091309
134.JPEG,NULL,19.022750854492188,19.18076705932617
135.JPEG,NULL,25.346195220947266,24.99170684814453
136.JPEG,NULL,26.991945266723636,33.74850082397461
137.JPEG,NULL,30.30865859985352,18.51100730895996
138.JPEG,NULL,23.15177154541016,23.57940673828125
139.JPEG,NULL,21.75468063354492,26.72488212585449
140.JPEG,NULL,20.90462875366211,24.55272483825684
141.JPEG,NULL,22.427244186401367,28.40180015563965
142.JPEG,NULL,26.434829711914062,27.04771614074707
143.JPEG,NULL,25.90597152709961,25.70801544189453
144.JPEG,NULL,27.68393898010254,27.931129455566406
145.JPEG,NULL,26.97076797485352,11.725560188293455
146.JPEG,NULL,24.547637939453125,22.910215377807617
147.JPEG,NULL,25.88541984558105,23.91782569885254
148.JPEG,NULL,23.360183715820312,21.19336700439453
149.JPEG,NULL,26.845121383666992,20.486331939697266
150.JPEG,NULL,18.64226531982422,23.17345428466797
151.JPEG,NULL,26.18563842773437,24.74790573120117
152.JPEG,NULL,25.0570068359375,22.395782470703125
153.JPEG,NULL,27.04728126525879,22.8532657623291
154.JPEG,NULL,26.183698654174805,19.083187103271484
155.JPEG,NULL,23.85944366455078,22.91088104248047
156.JPEG,NULL,24.9924430847168,23.03419303894043
157.JPEG,NULL,22.812664031982425,21.93619155883789
158.JPEG,NULL,21.920238494873047,17.810802459716797
159.JPEG,NULL,25.07194328308105,26.111865997314453
160.JPEG,NULL,21.75312614440918,22.20884704589844
161.JPEG,NULL,26.626087188720703,24.839902877807617
162.JPEG,NULL,23.699787139892575,25.13371086120605
163.JPEG,NULL,26.882158279418945,33.57553482055664
164.JPEG,NULL,17.67585563659668,26.88464736938477
165.JPEG,NULL,16.580577850341797,25.24927520751953
166.JPEG,NULL,26.117172241210938,19.649742126464844
167.JPEG,NULL,24.63902282714844,25.72031784057617
168.JPEG,NULL,24.604984283447266,19.29671859741211
169.JPEG,NULL,25.814022064208984,26.748828887939453
170.JPEG,NULL,27.366552352905277,26.8278865814209
171.JPEG,NULL,16.334383010864258,25.65596580505371
172.JPEG,NULL,23.532686233520508,25.19102668762207
173.JPEG,NULL,21.25356674194336,24.587474822998047
174.JPEG,NULL,22.76771545410156,29.934595108032227
175.JPEG,NULL,25.264381408691406,24.07174491882324
176.JPEG,NULL,20.52444267272949,23.882022857666016
177.JPEG,NULL,15.40836238861084,25.743946075439453
178.JPEG,NULL,20.4127140045166,24.702247619628903
179.JPEG,NULL,24.5419864654541,26.94367790222168
180.JPEG,NULL,25.80102157592773,28.6016902923584
181.JPEG,NULL,25.45576286315918,30.2479305267334
182.JPEG,NULL,23.63065719604492,22.410768508911133
183.JPEG,NULL,22.283544540405277,23.07135581970215
184.JPEG,NULL,23.542503356933597,23.670015335083008
185.JPEG,NULL,29.77806663513184,15.86957550048828
186.JPEG,NULL,24.212894439697266,30.57002830505371
187.JPEG,NULL,31.02130889892578,24.24115753173828
188.JPEG,NULL,26.576675415039062,25.40677833557129
189.JPEG,NULL,20.104278564453125,17.413253784179688
190.JPEG,NULL,23.63593292236328,10.119754791259766
191.JPEG,NULL,24.571195602416992,26.321876525878903
192.JPEG,NULL,20.90704917907715,25.781469345092773
193.JPEG,NULL,23.46479034423828,19.521072387695312
194.JPEG,NULL,26.332992553710938,27.683151245117188
195.JPEG,NULL,25.83540153503418,22.310800552368164
196.JPEG,NULL,23.290346145629883,27.22916030883789
197.JPEG,NULL,24.03793334960937,22.72541618347168
198.JPEG,NULL,23.36255645751953,27.01141929626465
199.JPEG,NULL,25.8283805847168,21.56187438964844
200.JPEG,NULL,24.6726131439209,31.366025924682617
201.JPEG,NULL,NULL,22.178245544433597
202.JPEG,NULL,NULL,19.916275024414062
203.JPEG,NULL,NULL,28.09584617614746
204.JPEG,NULL,NULL,25.990816116333008
205.JPEG,NULL,NULL,29.342369079589844
206.JPEG,NULL,NULL,28.55925750732422
207.JPEG,NULL,NULL,28.203073501586918
208.JPEG,NULL,NULL,26.253612518310547
209.JPEG,NULL,NULL,27.7915096282959
210.JPEG,NULL,NULL,26.53026390075684
211.JPEG,NULL,NULL,23.53249931335449
212.JPEG,NULL,NULL,19.45331573486328
213.JPEG,NULL,NULL,28.766536712646484
214.JPEG,NULL,NULL,22.9089412689209
215.JPEG,NULL,NULL,23.894641876220703
216.JPEG,NULL,NULL,16.07187271118164
217.JPEG,NULL,NULL,20.42523956298828
218.JPEG,NULL,NULL,27.58539581298828
219.JPEG,NULL,NULL,20.17765998840332
220.JPEG,NULL,NULL,22.916154861450195
221.JPEG,NULL,NULL,21.2606143951416
222.JPEG,NULL,NULL,28.096790313720703
223.JPEG,NULL,NULL,21.79353141784668
224.JPEG,NULL,NULL,19.381065368652344
225.JPEG,NULL,NULL,28.450359344482425
226.JPEG,NULL,NULL,23.14420318603516
227.JPEG,NULL,NULL,22.65310287475586
228.JPEG,NULL,NULL,30.17951774597168
229.JPEG,NULL,NULL,10.068692207336426
230.JPEG,NULL,NULL,19.234115600585938
231.JPEG,NULL,NULL,25.24472999572754
232.JPEG,NULL,NULL,23.92489242553711
